0,1,2,3,4,5,6
Eryn Allen Kane,spotify:artist:5xI4mPixKfrCCspATqbpy3,Aviary: Act 1,spotify:album:7sVyk1fdhhiBcguh15NN3N,2015-11-17,Bass Song,spotify:track:75iIalBlg6g7krYDWAfFUT
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,blkswn,spotify:album:3bTjPEgPzm1XwXsNlMVHhs,2017-03-14,Amphetamine,spotify:track:3Zau3JcrZcBfw8aVjKGkSX
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Biking (Solo),spotify:album:46H4UzFHMLnGgpyrj9HpKr,2017-05-15,Biking (Solo),spotify:track:6gtNiLJNLBcV0P6Juenstp
Mac Ayres,spotify:artist:0fTav4sBLmYOAzKuJw0grL,Something to Feel,spotify:album:02dq5KH5htRQNedTyplLu8,2018-09-05,Get to You Again,spotify:track:5pNiAcguRrBdYf5V0QXdir
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Jean Deaux,spotify:artist:4JqpJeNOhP6bAkolNMLwFg,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Phoelix,spotify:artist:2TKC2gVUNBUAlFqfLUoaj0,Kajun,spotify:album:2PSlV2yMCBJhhU4QyqMD6t,2016-08-19,Kajun,spotify:track:2CYDcunjh8q0F8wDEMW7F7
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,PIZANO,spotify:track:4cptnUQG5upQxFUPcrZMdU
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,2017-04-14,XXX. FEAT. U2.,spotify:track:4iYRa2btalAzPZoSYfROqF
U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY,2017-04-14,XXX. FEAT. U2.,spotify:track:4iYRa2btalAzPZoSYfROqF
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,channel ORANGE,spotify:album:392p3shh2jkxUxY2VHvlH8,2012-07-10,Lost,spotify:track:3GZD6HmiNUhxXYf8Gch723
Noname,spotify:artist:1EpyA68dKpjf7jXmQL88Hy,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Reality Check (feat. Akenya & Eryn Allen Kane),spotify:track:0UVfZ1QfaSPqRHhmZNVI71
Akenya,spotify:artist:2pHQOZq131jMXYSTjP3Ncx,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Reality Check (feat. Akenya & Eryn Allen Kane),spotify:track:0UVfZ1QfaSPqRHhmZNVI71
Eryn Allen Kane,spotify:artist:5xI4mPixKfrCCspATqbpy3,Telefone,spotify:album:18Scpsg5OV1iYNtSaCsjwz,2016-08-12,Reality Check (feat. Akenya & Eryn Allen Kane),spotify:track:0UVfZ1QfaSPqRHhmZNVI71
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,spotify:album:4mvxoogQn8p84Wz17zTHnJ,2019-06-28,FRONTAL LOBE MUZIK,spotify:track:0b6l1obmzq1YrqiKBVLtIo
Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,CASE STUDY 01,spotify:album:4mvxoogQn8p84Wz17zTHnJ,2019-06-28,FRONTAL LOBE MUZIK,spotify:track:0b6l1obmzq1YrqiKBVLtIo
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,BUSY / SIRENS,spotify:track:4YdRnTnXYwgI48kkzWy6uk
theMIND,spotify:artist:5ZK5YGazICLXEXlaNnEBqP,CARE FOR ME,spotify:album:6Te111t5gDZ7W94myHRqUt,2018-04-05,BUSY / SIRENS,spotify:track:4YdRnTnXYwgI48kkzWy6uk
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,moodz (feat. 24hrs),spotify:track:7cZbVLrtLIFDWh5YpRBS9M
24hrs,spotify:artist:4isewEHTP7Az2QheDdBQ6J,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,moodz (feat. 24hrs),spotify:track:7cZbVLrtLIFDWh5YpRBS9M
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Pilgrim's Paradise,spotify:album:4uP43hIpmEEDuW7aOfiU2C,2015-11-12,Death & Taxes,spotify:track:7HnkUNPrhRurdGEm9nRYFH
Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3,better off (filous Remix),spotify:album:470uUCHD2oYm66SIj2TcVV,2018-05-18,better off - filous remix,spotify:track:3PMsgFdVtCeTgjzE8X9TTs
Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp,better off (filous Remix),spotify:album:470uUCHD2oYm66SIj2TcVV,2018-05-18,better off - filous remix,spotify:track:3PMsgFdVtCeTgjzE8X9TTs
filous,spotify:artist:2IjiuEObrCKyZvSb8xLxG9,better off (filous Remix),spotify:album:470uUCHD2oYm66SIj2TcVV,2018-05-18,better off - filous remix,spotify:track:3PMsgFdVtCeTgjzE8X9TTs
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,Violet,spotify:album:0jEXP19j3EI5XObHCKIuM1,2015-07-01,Violet,spotify:track:22jnEneSABg4vRCR1vow7F
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,spotify:album:4mvxoogQn8p84Wz17zTHnJ,2019-06-28,COMPLEXITIES,spotify:track:5PlNmsmUUQMbr8rManhvqs
Spillage Village,spotify:artist:7izarc0fRIPbdZ8cVyChRf,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,M.O.M,spotify:track:1WdvlNe4W8fKgBKb07UXKY
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,M.O.M,spotify:track:1WdvlNe4W8fKgBKb07UXKY
Quentin Miller,spotify:artist:6po19E0R9xffrgzrg84TC9,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,M.O.M,spotify:track:1WdvlNe4W8fKgBKb07UXKY
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,LOW DOWN DERRTY BLUES,spotify:track:7lOWMm3udPeBvu5FDmpC8h
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,NOIR,spotify:album:5rVlqi2fHOmWB764N8PsWF,2018-11-08,SKEDOS,spotify:track:0Ec3M0gdhQ4sUKd5vGEKqm
Mura Masa,spotify:artist:5Q81rlcTFh3k6DQJXPdsot,Mura Masa,spotify:album:0NBTBo1qrg554sAj79nEqD,2017-07-14,Love$ick (feat. A$AP Rocky),spotify:track:3sTN90bIP2cJ1783ctHykO
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,Mura Masa,spotify:album:0NBTBo1qrg554sAj79nEqD,2017-07-14,Love$ick (feat. A$AP Rocky),spotify:track:3sTN90bIP2cJ1783ctHykO
kuru,spotify:artist:1KJ5ZZBncdHtz60i3fiQYu,typo,spotify:album:7ta5iTqhO33fI2pm0JFa2V,2020-11-24,typo,spotify:track:1IU8mabvThkudiabnNiMqP
Saba,spotify:artist:7Hjbimq43OgxaBRpFXic4x,Papaya,spotify:album:7qx9fU1m2vNrbgdIRc0zkn,2018-12-07,Papaya,spotify:track:79YUO28pB2fGxsmigK3Sjv
daedaePIVOT,spotify:artist:1H78Q8wCK3PAvs1G3ocexx,Papaya,spotify:album:7qx9fU1m2vNrbgdIRc0zkn,2018-12-07,Papaya,spotify:track:79YUO28pB2fGxsmigK3Sjv
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,wish u the best,spotify:track:23xup5SPK9QGT5Rs5qUzOm
Stalking Gia,spotify:artist:3VTJqPiHqHHIrx1FL7avMY,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,wish u the best,spotify:track:23xup5SPK9QGT5Rs5qUzOm
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,Ctrl,spotify:album:76290XdXVF9rPzGdNRWdCh,2017-06-09,Broken Clocks,spotify:track:2fXwCWkh6YG5zU1IyvQrbs
Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Free Spirit,spotify:album:6KT8x5oqZJl9CcnM66hddo,2019-04-05,Right Back,spotify:track:5A1w94uzc1kO1Zhe8WWxC3
Cautious Clay,spotify:artist:6iWuBN32BqCJAeXW6o3nil,Deadpan Love,spotify:album:68ioJPPDh78BdVruabXHVn,2021-06-25,Shook,spotify:track:66V5BpE4bbuRWZyehvmuq6
Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,"22, A Million",spotify:album:1PgfRdl3lPyACfUGH4pquG,2016-09-30,29 #Strafford APTS,spotify:track:4VZM71F8XAoLRuNyNLxwWS
Ghetto Sage,spotify:artist:3V4S3LBWwZCQ0UkKClucoW,Häagen Dazs,spotify:album:3de7JZommOaihUk442MYPl,2019-10-17,Häagen Dazs,spotify:track:0i1qCBWE1JbfbCBPAofuHT
BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,1999 WILDFIRE,spotify:album:279n8A7MneZ790ohTb6g6p,2018-07-07,1999 WILDFIRE,spotify:track:1t4pPnbkOjzoA5RvsDjvUU
JPEGMAFIA,spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO,Veteran,spotify:album:51WLEfPEEkzAWurvuY6Gco,2018-01-19,1539 N. Calvert,spotify:track:6XyxCBp6x3jvtxXvMN5sAA
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,T R A P S O U L,spotify:album:6eZdwrhB97A3EYx9QppGfl,2015-10-02,Right My Wrongs,spotify:track:5rgrBsAFYMun6yhtnLKRPz
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,spotify:album:7ycBtnsMtyVbbwTfJwRjSP,2015-03-16,i,spotify:track:3ODXRUPL44f04cCacwiCLC
Royal & the Serpent,spotify:artist:64EHXDoln95lnccszdPum0,salvador dali (frumhere remix),spotify:album:5vO28ZVjeVIp3POIesjW3l,2019-07-05,salvador dali (frumhere remix),spotify:track:74s28AomHiLMxGN508SLCM
Marky Style,spotify:artist:30rdwRJSoSZicHb4xOCrme,salvador dali (frumhere remix),spotify:album:5vO28ZVjeVIp3POIesjW3l,2019-07-05,salvador dali (frumhere remix),spotify:track:74s28AomHiLMxGN508SLCM
frumhere,spotify:artist:21Aa8MX3PsrO03NgH3TZGy,salvador dali (frumhere remix),spotify:album:5vO28ZVjeVIp3POIesjW3l,2019-07-05,salvador dali (frumhere remix),spotify:track:74s28AomHiLMxGN508SLCM
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,digital druglord,spotify:album:30QoUTsSdpQuZunPNFsLnm,2017-04-21,double,spotify:track:7is4HpXFrjZ0ShTk2yv16H
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,DiCaprio 2,spotify:album:2oI6gtIXrvNiL2VEMmj5kY,2018-11-26,Hasta Luego - Bonus,spotify:track:2Zyk0on2N9vZyHueREwoJC
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,cybersex,spotify:album:1nXBX3wP3DQgwpqvVtJl8H,2017-11-27,g2g ttyl (feat. THEY.),spotify:track:5peXF38os4UT1lsfdoKMt5
THEY.,spotify:artist:0pghUohLPptZWBasy2wmUx,cybersex,spotify:album:1nXBX3wP3DQgwpqvVtJl8H,2017-11-27,g2g ttyl (feat. THEY.),spotify:track:5peXF38os4UT1lsfdoKMt5
Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Goodbye & Good Riddance,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,2018-12-10,Lucid Dreams,spotify:track:285pBltuF7vW8TeWk8hdRR
Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,untitled 07 | levitate,spotify:album:1EmfbMC739Pfi2Q3U4a0Y7,2016-03-23,untitled 07 | levitate,spotify:track:6QvxTX9zvo4u7XhP9vOP3n
Bladee,spotify:artist:2xvtxDNInKDV4AvGmjw6d1,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Mechatok,spotify:artist:4poYOxVqlpDTelhhiJcSrW,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5,Drama (feat. Charli XCX),spotify:album:3CR9ZfCeWVq7LbQg5deUqu,2021-04-28,Drama (feat. Charli XCX),spotify:track:3VzW3IXIwEvZ0HcKZEFZjJ
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,The Life Of Pablo,spotify:album:7gsWAHLeT0w7es6FofOXk1,2016-06-10,Waves,spotify:track:3nAq2hCr1oWsIU54tS98pL
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Melodrama,spotify:album:4oCGmYsAQOWt2ACWTpNUU6,2017-11-10,Sober II (Melodrama),spotify:track:0dtMnnWhm2AXVxjJy5hUPe
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u,Chewing Cotton Wool,spotify:album:1OlByJ5jsP9Eklfp03Xn8z,2020-08-12,Dionne (feat. Justin Vernon),spotify:track:15gL4n95OG5KEQLCMXPQzp
Justin Vernon,spotify:artist:13rHmjtJmlIJ2aDyJc7CLV,Chewing Cotton Wool,spotify:album:1OlByJ5jsP9Eklfp03Xn8z,2020-08-12,Dionne (feat. Justin Vernon),spotify:track:15gL4n95OG5KEQLCMXPQzp
Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Coupe Se' Yern,spotify:album:7sf8iNDBHKrfjAUVPNHCZc,2018-07-20,Coupe Se' Yern,spotify:track:2UslPu1Jo7jIiUchu9QvPv
WHOKILLEDXIX,spotify:artist:0RSogp4qeGu0ZM71JRTay3,THUMP,spotify:album:04dbthOSE7NnVLYGmhopl8,2021-07-23,THUMP,spotify:track:2c7LWtI9d1lGmQDAJa6NaL
Spillage Village,spotify:artist:7izarc0fRIPbdZ8cVyChRf,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,Willow Tree,spotify:track:4ir5WlzsgiP6TEbRtkhCGR
JID,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,Willow Tree,spotify:track:4ir5WlzsgiP6TEbRtkhCGR
Jordxn Bryant,spotify:artist:5HDugisegjcujApqOEN3Ki,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,Willow Tree,spotify:track:4ir5WlzsgiP6TEbRtkhCGR
Hollywood JB,spotify:artist:7rQhG9iwQZilVSDCivPQO4,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,Willow Tree,spotify:track:4ir5WlzsgiP6TEbRtkhCGR
EARTHGANG,spotify:artist:5MbNzCW3qokGyoo9giHA3V,Bears Like This Too Much,spotify:album:1QYACZF6ijryY2dHq71erf,2016-12-02,Willow Tree,spotify:track:4ir5WlzsgiP6TEbRtkhCGR
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,CASE STUDY 01,spotify:album:4mvxoogQn8p84Wz17zTHnJ,2019-06-28,TOO DEEP TO TURN BACK,spotify:track:63UNqAjFomMcZXc2InOxTC
Vince Staples,spotify:artist:68kEuyFKyqrdQQLLsmiatm,"Yo Love (From ""Queen & Slim: The Soundtrack"")",spotify:album:09VyQ2zwUx0EBKTJNBUZv1,2019-11-11,"Yo Love - From ""Queen & Slim: The Soundtrack""",spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ
6LACK,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,"Yo Love (From ""Queen & Slim: The Soundtrack"")",spotify:album:09VyQ2zwUx0EBKTJNBUZv1,2019-11-11,"Yo Love - From ""Queen & Slim: The Soundtrack""",spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ
Mereba,spotify:artist:294lNTPZfdqyzt8qnxmFiL,"Yo Love (From ""Queen & Slim: The Soundtrack"")",spotify:album:09VyQ2zwUx0EBKTJNBUZv1,2019-11-11,"Yo Love - From ""Queen & Slim: The Soundtrack""",spotify:track:3Vj8RQkFwOmDvUrwu6MtQZ
smle,spotify:artist:1JV42BPeocUJ0EyQh8ug6V,Chasing Channels,spotify:album:3qgZ3tKehJ9dxSxG1frhfx,2019-06-28,Just 5 More Minutes,spotify:track:2hC3ZK0KUXYmPanrFrFuAy
Porter Robinson,spotify:artist:3dz0NnIZhtKKeXZxLOxCam,Musician,spotify:album:2nOnXqBdSuTabFKQXKEDIh,2021-03-03,Musician,spotify:track:6AIMGwDREa86WOdxIQj2S7
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,ANONYMOUS,spotify:album:5DVpGdikHfxFWIELotC3FL,2019-04-26,SWEAR TO GOD,spotify:track:3EwBNn0TfjcLYCnSZBzdTY
